leaked_bits,sigma,m,seed,epochs,cnn_test_bit_accuracy,cnn_test_prefix_accuracy,cnn_test_exact_prefixes,oracle_hnp_key_recovered,cnn_hnp_key_recovered,hnp_backend,oracle_hnp_runtime_seconds,cnn_hnp_runtime_seconds,oracle_hnp_error,cnn_hnp_error
8,0.1,40,1008,,1.0,1.0,40,,False,fpylll,,0.2054208409999773,,
10,0.1,40,1008,,1.0,1.0,40,,True,fpylll,,0.1074144620006336,,
12,0.1,40,1008,,1.0,1.0,40,,True,fpylll,,0.0969630569998116,,
14,0.1,40,1008,,1.0,1.0,40,,True,fpylll,,0.1033856149997518,,
8,0.15,40,1008,,1.0,1.0,40,,False,fpylll,,0.0938635029997385,,
10,0.15,40,1008,,1.0,1.0,40,,True,fpylll,,0.092285379999339,,
12,0.15,40,1008,,1.0,1.0,40,,True,fpylll,,0.0980308910002349,,
14,0.15,40,1008,,1.0,1.0,40,,True,fpylll,,0.0966227879998768,,
8,0.2,40,1008,,0.990625,0.95,38,,False,fpylll,,0.0902746589999878,,
10,0.2,40,1008,,0.985,0.925,37,,True,fpylll,,0.0919489820007584,,
12,0.2,40,1008,,0.9875,0.925,37,,True,fpylll,,0.0886603359995206,,
14,0.2,40,1008,,0.9892857142857144,0.925,37,,True,fpylll,,0.0920803279996107,,
8,0.0,40,1009,,1.0,1.0,40,,False,fpylll,,0.092778752000413,,
10,0.0,40,1009,,1.0,1.0,40,,True,fpylll,,0.0888127719999829,,
12,0.0,40,1009,,1.0,1.0,40,,True,fpylll,,0.0918115519998536,,
14,0.0,40,1009,,1.0,1.0,40,,True,fpylll,,0.094554199000413,,
8,0.05,40,1009,,1.0,1.0,40,,False,fpylll,,0.0934700060006434,,
10,0.05,40,1009,,1.0,1.0,40,,True,fpylll,,0.0973852650004118,,
12,0.05,40,1009,,1.0,1.0,40,,True,fpylll,,0.0906422540001585,,
14,0.05,40,1009,,1.0,1.0,40,,True,fpylll,,0.0925875370003268,,
8,0.1,40,1009,,1.0,1.0,40,,False,fpylll,,0.0978919789995416,,
10,0.1,40,1009,,1.0,1.0,40,,True,fpylll,,0.0939329760003602,,
12,0.1,40,1009,,1.0,1.0,40,,True,fpylll,,0.1080985889993826,,
14,0.1,40,1009,,1.0,1.0,40,,True,fpylll,,0.1130444509999506,,
8,0.15,40,1009,,1.0,1.0,40,,False,fpylll,,0.1040089250000164,,
10,0.15,40,1009,,1.0,1.0,40,,True,fpylll,,0.0929229359999226,,
12,0.15,40,1009,,1.0,1.0,40,,True,fpylll,,0.0997413719996984,,
14,0.15,40,1009,,1.0,1.0,40,,True,fpylll,,0.091277737999917,,
8,0.2,40,1009,,0.984375,0.95,38,,False,fpylll,,0.0901397150000775,,
10,0.2,40,1009,,0.9875,0.95,38,,True,fpylll,,0.0918064679999588,,
12,0.2,40,1009,,0.9854166666666668,0.925,37,,True,fpylll,,0.0918072750000646,,
14,0.2,40,1009,,0.9857142857142858,0.925,37,,True,fpylll,,0.1781271109994122,,
8,0.0,40,1010,,1.0,1.0,40,,False,fpylll,,0.0952934920005645,,
10,0.0,40,1010,,1.0,1.0,40,,True,fpylll,,0.0942921050000222,,
12,0.0,40,1010,,1.0,1.0,40,,True,fpylll,,0.0977744889996756,,
14,0.0,40,1010,,1.0,1.0,40,,True,fpylll,,0.1012896139991426,,
8,0.05,40,1010,,1.0,1.0,40,,False,fpylll,,0.0934298659994965,,
10,0.05,40,1010,,1.0,1.0,40,,True,fpylll,,0.0920655529998839,,
12,0.05,40,1010,,1.0,1.0,40,,True,fpylll,,0.1205188190006083,,
14,0.05,40,1010,,1.0,1.0,40,,True,fpylll,,0.1237481959997239,,
8,0.1,40,1010,,1.0,1.0,40,,False,fpylll,,0.0905089700008829,,
10,0.1,40,1010,,1.0,1.0,40,,True,fpylll,,0.0930973699996684,,
12,0.1,40,1010,,1.0,1.0,40,,True,fpylll,,0.0940696389998265,,
14,0.1,40,1010,,1.0,1.0,40,,True,fpylll,,0.0929420820002633,,
8,0.15,40,1010,,1.0,1.0,40,,False,fpylll,,0.0899086740000711,,
10,0.15,40,1010,,1.0,1.0,40,,True,fpylll,,0.0960359040000184,,
12,0.15,40,1010,,1.0,1.0,40,,True,fpylll,,0.0959307459997944,,
14,0.15,40,1010,,1.0,1.0,40,,True,fpylll,,0.0943718079997779,,
8,0.2,40,1010,,0.98125,0.925,37,,False,fpylll,,0.1035041140003159,,
10,0.2,40,1010,,0.9825,0.925,37,,True,fpylll,,0.1047606410002117,,
12,0.2,40,1010,,0.9854166666666668,0.925,37,,True,fpylll,,0.1571615160000874,,
14,0.2,40,1010,,0.9875,0.925,37,,True,fpylll,,0.1064741099999082,,
8,0.0,40,1011,,1.0,1.0,40,,False,fpylll,,0.0982310469998992,,
10,0.0,40,1011,,1.0,1.0,40,,True,fpylll,,0.0950553619995844,,
12,0.0,40,1011,,1.0,1.0,40,,True,fpylll,,0.0995643910000581,,
14,0.0,40,1011,,1.0,1.0,40,,True,fpylll,,0.147196253000402,,
8,0.05,40,1011,,1.0,1.0,40,,False,fpylll,,0.1141296269997838,,
10,0.05,40,1011,,1.0,1.0,40,,True,fpylll,,0.1406669669995608,,
12,0.05,40,1011,,1.0,1.0,40,,True,fpylll,,0.1464189409998653,,
14,0.05,40,1011,,1.0,1.0,40,,True,fpylll,,0.126233824999872,,
8,0.1,40,1011,,1.0,1.0,40,,False,fpylll,,0.2626810230003684,,
10,0.1,40,1011,,1.0,1.0,40,,True,fpylll,,0.0964415850003206,,
12,0.1,40,1011,,1.0,1.0,40,,True,fpylll,,0.1127760039998975,,
